sample_name	mtx_study_accession	mtx_run_accession	mgx_study_accession	mgx_run_accession	sample_type
C_2_1	PRJNA406858	SRR6032600	PRJNA406858	SRR6032602	activated_sludge
B_2_1	PRJNA406858	SRR6032604	PRJNA406858	SRR6032601	activated_sludge
E_2_1	PRJNA406858	SRR6032605	PRJNA406858	SRR6032603	activated_sludge
rumen_microbiome_of_beef_cattle_101	PRJNA448333	SRR8416057	PRJNA448333	SRR8397906	cattle_rumen
rumen_microbiome_of_beef_cattle_103	PRJNA448333	SRR8416058	PRJNA448333	SRR8404214	cattle_rumen
rumen_microbiome_of_beef_cattle_104	PRJNA448333	SRR8416055	PRJNA448333	SRR8397905	cattle_rumen
rumen_microbiome_of_beef_cattle_105	PRJNA448333	SRR8416056	PRJNA448333	SRR8397904	cattle_rumen
rumen_microbiome_of_beef_cattle_106	PRJNA448333	SRR8416061	PRJNA448333	SRR8397903	cattle_rumen
rumen_microbiome_of_beef_cattle_107	PRJNA448333	SRR8416062	PRJNA448333	SRR8397910	cattle_rumen
rumen_microbiome_of_beef_cattle_112	PRJNA448333	SRR8416059	PRJNA448333	SRR8397909	cattle_rumen
rumen_microbiome_of_beef_cattle_201	PRJNA448333	SRR8416060	PRJNA448333	SRR8397908	cattle_rumen
rumen_microbiome_of_beef_cattle_202	PRJNA448333	SRR8416064	PRJNA448333	SRR8397907	cattle_rumen
rumen_microbiome_of_beef_cattle_203	PRJNA448333	SRR8416065	PRJNA448333	SRR8397902	cattle_rumen
rumen_microbiome_of_beef_cattle_205	PRJNA448333	SRR8416069	PRJNA448333	SRR8397901	cattle_rumen
rumen_microbiome_of_beef_cattle_206	PRJNA448333	SRR8416070	PRJNA448333	SRR8397884	cattle_rumen
rumen_microbiome_of_beef_cattle_207	PRJNA448333	SRR8416067	PRJNA448333	SRR8397883	cattle_rumen
rumen_microbiome_of_beef_cattle_208	PRJNA448333	SRR8416068	PRJNA448333	SRR8397886	cattle_rumen
rumen_microbiome_of_beef_cattle_209	PRJNA448333	SRR8416073	PRJNA448333	SRR8397885	cattle_rumen
rumen_microbiome_of_beef_cattle_210	PRJNA448333	SRR8416074	PRJNA448333	SRR8397888	cattle_rumen
rumen_microbiome_of_beef_cattle_301	PRJNA448333	SRR8416071	PRJNA448333	SRR8397887	cattle_rumen
rumen_microbiome_of_beef_cattle_302	PRJNA448333	SRR8416072	PRJNA448333	SRR8397890	cattle_rumen
rumen_microbiome_of_beef_cattle_303	PRJNA448333	SRR8416075	PRJNA448333	SRR8397889	cattle_rumen
rumen_microbiome_of_beef_cattle_304	PRJNA448333	SRR8416076	PRJNA448333	SRR8397882	cattle_rumen
rumen_microbiome_of_beef_cattle_305	PRJNA448333	SRR8416092	PRJNA448333	SRR8397881	cattle_rumen
rumen_microbiome_of_beef_cattle_307	PRJNA448333	SRR8416091	PRJNA448333	SRR8397917	cattle_rumen
rumen_microbiome_of_beef_cattle_308	PRJNA448333	SRR8416090	PRJNA448333	SRR8397918	cattle_rumen
rumen_microbiome_of_beef_cattle_401	PRJNA448333	SRR8416089	PRJNA448333	SRR8397919	cattle_rumen
rumen_microbiome_of_beef_cattle_402	PRJNA448333	SRR8416096	PRJNA448333	SRR8397920	cattle_rumen
rumen_microbiome_of_beef_cattle_403	PRJNA448333	SRR8416095	PRJNA448333	SRR8397913	cattle_rumen
rumen_microbiome_of_beef_cattle_404	PRJNA448333	SRR8416094	PRJNA448333	SRR8397914	cattle_rumen
rumen_microbiome_of_beef_cattle_407	PRJNA448333	SRR8416093	PRJNA448333	SRR8397915	cattle_rumen
rumen_microbiome_of_beef_cattle_501	PRJNA448333	SRR8416088	PRJNA448333	SRR8397916	cattle_rumen
rumen_microbiome_of_beef_cattle_503	PRJNA448333	SRR8416087	PRJNA448333	SRR8397911	cattle_rumen
rumen_microbiome_of_beef_cattle_505	PRJNA448333	SRR8416102	PRJNA448333	SRR8397912	cattle_rumen
rumen_microbiome_of_beef_cattle_506	PRJNA448333	SRR8416083	PRJNA448333	SRR8397894	cattle_rumen
rumen_microbiome_of_beef_cattle_601	PRJNA448333	SRR8416063	PRJNA448333	SRR8397893	cattle_rumen
rumen_microbiome_of_beef_cattle_604	PRJNA448333	SRR8416066	PRJNA448333	SRR8397892	cattle_rumen
rumen_microbiome_of_beef_cattle_608	PRJNA448333	SRR8416097	PRJNA448333	SRR8397891	cattle_rumen
rumen_microbiome_of_beef_cattle_611	PRJNA448333	SRR8416098	PRJNA448333	SRR8397898	cattle_rumen
rumen_microbiome_of_beef_cattle_612	PRJNA448333	SRR8416099	PRJNA448333	SRR8397897	cattle_rumen
rumen_microbiome_of_beef_cattle_701	PRJNA448333	SRR8416100	PRJNA448333	SRR8397896	cattle_rumen
rumen_microbiome_of_beef_cattle_702	PRJNA448333	SRR8416077	PRJNA448333	SRR8397895	cattle_rumen
rumen_microbiome_of_beef_cattle_703	PRJNA448333	SRR8416078	PRJNA448333	SRR8397900	cattle_rumen
rumen_microbiome_of_beef_cattle_704	PRJNA448333	SRR8416082	PRJNA448333	SRR8397899	cattle_rumen
rumen_microbiome_of_beef_cattle_705	PRJNA448333	SRR8416081	PRJNA448333	SRR8397926	cattle_rumen
rumen_microbiome_of_beef_cattle_706	PRJNA448333	SRR8416086	PRJNA448333	SRR8397927	cattle_rumen
rumen_microbiome_of_beef_cattle_707	PRJNA448333	SRR8416084	PRJNA448333	SRR8397924	cattle_rumen
rumen_microbiome_of_beef_cattle_708	PRJNA448333	SRR8416101	PRJNA448333	SRR8397925	cattle_rumen
rumen_microbiome_of_beef_cattle_709	PRJNA448333	SRR8416085	PRJNA448333	SRR8397922	cattle_rumen
rumen_microbiome_of_beef_cattle_710	PRJNA448333	SRR8416080	PRJNA448333	SRR8397923	cattle_rumen
rumen_microbiome_of_beef_cattle_712	PRJNA448333	SRR8416079	PRJNA448333	SRR8397921	cattle_rumen
HiTCE_2d	PRJNA344005	SRR4308224	PRJNA344005	SRR4308227	groundwater
HiTCEB12_2d	PRJNA344005	SRR4308225	PRJNA344005	SRR4308226	groundwater
CS-Sed16-2cmA	PRJNA453733	SRR7083928	PRJNA453733	SRR7083931	lake
amazon_plume_2_0um_from_station_10	PRJNA237345	SRR1193190	PRJNA237344	SRR1205250	river
amazon_plume_2_0um_from_station_2	PRJNA237345	SRR1193177	PRJNA237344	SRR1182511	river
amazon_plume_2_0um_from_station_23	PRJNA237345	SRR1193237	PRJNA237344	SRR1202089	river
amazon_plume_2_0um_from_station_27	PRJNA237345	SRR1193629	PRJNA237344	SRR1183643	river
amazon_plume_2_0um_from_station_3	PRJNA237345	SRR1193226	PRJNA237344	SRR1199272	river
amazon_plume_0_2_2_0um_from_station_10	PRJNA237345	SRR1186930	PRJNA237344	SRR1199271	river
amazon_plume_0_2_2_0um_from_station_2	PRJNA237345	SRR1193205	PRJNA237344	SRR1182512	river
amazon_plume_0_2_2_0um_from_station_23	PRJNA237345	SRR1193632	PRJNA237344	SRR1186214	river
amazon_plume_0_2_2_0um_from_station_25	PRJNA237345	SRR1204579	PRJNA237344	SRR1202090	river
amazon_plume_0_2_2_0um_from_station_27	PRJNA237345	SRR1193627	PRJNA237344	SRR1183650	river
amazon_plume_0_2_2_0um_from_station_3	PRJNA237345	SRR1193215	PRJNA237344	SRR1185413	river
amazon_river_0_2_2_0um_from_belem	PRJNA237345	SRR1781804	PRJNA237344	SRR1790489	river
amazon_river_0_2_2_0um_from_macapa_north_channel	PRJNA237345	SRR1785209	PRJNA237344	SRR1786279	river
amazon_river_0_2_2_0um_from_macapa_south_channel	PRJNA237345	SRR1784299	PRJNA237344	SRR1787940	river
amazon_river_0_2_2_0um_from_obidos	PRJNA237345	SRR1781945	PRJNA237344	SRR1790676	river
amazon_river_0_2_2_0um_from_tapajos_depth	PRJNA237345	SRR1779221	PRJNA237344	SRR1792674	river
amazon_river_0_2_2_0um_from_tapajos_surface	PRJNA237345	SRR1777513	PRJNA237344	SRR1796116	river
amazon_river_2_0_297um_from_belem	PRJNA237345	SRR1781811	PRJNA237344	SRR1790644	river
amazon_river_2_0_297um_from_macapa_north_channel	PRJNA237345	SRR1785350	PRJNA237344	SRR1786281	river
amazon_river_2_0_297um_from_macapa_south_channel	PRJNA237345	SRR1784304	PRJNA237344	SRR1787943	river
amazon_river_2_0_297um_from_obidos	PRJNA237345	SRR1782579	PRJNA237344	SRR1790678	river
amazon_river_2_0_297um_from_tapajos_depth	PRJNA237345	SRR1781711	PRJNA237344	SRR1792852	river
amazon_river_2_0_297um_from_tapajos_surface	PRJNA237345	SRR1778024	PRJNA237344	SRR1796118	river
26	PRJNA502453	SRR8361532	PRJNA467728	SRR7592711	ocean
58_r	PRJNA502454	SRR8361534	PRJNA467772	SRR7609573	ocean
125_r	PRJNA468332	SRR7962480	PRJNA467773	SRR7609569	ocean
8	PRJNA502455	SRR8297879	PRJNA467724	SRR7592287	ocean
85	PRJNA502456	SRR8297845	PRJNA467765	SRR7609362	ocean
76	PRJNA468305	SRR7949679	PRJNA467757	SRR7608731	ocean
40	PRJNA467774	SRR7609608	PRJNA467736	SRR7595425	ocean
53	PRJNA468299	SRR7609574	PRJNA502421	SRR8361352	ocean
73	PRJNA468306	SRR7949683	PRJNA467754	SRR7608223	ocean
23	PRJNA467775	SRR7609632	PRJNA467727	SRR7633009	ocean
49	PRJNA467776	SRR7609653	PRJNA502442	SRR8361104	ocean
14	PRJNA468308	SRR7949682	PRJNA502410	SRR8360542	ocean
44	PRJNA502457	SRR8361579	PRJNA467738	SRR7600393	ocean
29	PRJNA468309	SRR7949681	PRJNA467730	SRR7593831	ocean
18	PRJNA467777	SRR7609655	PRJNA502413	SRR8360544	ocean
24	PRJNA502458	SRR8361603	PRJNA502440	SRR8360549	ocean
79	PRJNA468143	SRR7609654	PRJNA467760	SRR7609143	ocean
22	PRJNA468300	SRR7609599	PRJNA502414	SRR8360545	ocean
21	PRJNA468310	SRR7949678	PRJNA468208	SRR7592488	ocean
60	PRJNA467778	SRR7609828	PRJNA502425	SRR8361517	ocean
15	PRJNA468144	SRR7609827	PRJNA502411	SRR8360457	ocean
75	PRJNA502459	SRR8361602	PRJNA467756	SRR7608423	ocean
3	PRJNA468311	SRR7949692	PRJNA467722	SRR7592226	ocean
20	PRJNA467779	SRR7609829	PRJNA467726	SRR7592489	ocean
91	PRJNA468312	SRR7949677	PRJNA467769	SRR7609461	ocean
56	PRJNA468152	SRR7615220	PRJNA467743	SRR7601261	ocean
46	PRJNA502460	SRR8297843	PRJNA468213	SRR7600395	ocean
2	PRJNA468313	SRR7609607	PRJNA467721	SRR7592225	ocean
38	PRJNA468301	SRR7609600	PRJNA468211	SRR7594461	ocean
45	PRJNA468314	SRR7962234	PRJNA467739	SRR7600394	ocean
36	PRJNA502461	SRR8361605	PRJNA467733	SRR7594165	ocean
39	PRJNA502462	SRR8297856	PRJNA467735	SRR7594967	ocean
68	PRJNA502463	SRR8361604	PRJNA467751	SRR7608008	ocean
30	PRJNA468315	SRR7962336	PRJNA502416	SRR8361099	ocean
48	PRJNA502464	SRR8361607	PRJNA467741	SRR7600453	ocean
42	PRJNA468316	SRR7962340	PRJNA502418	SRR8361100	ocean
25	PRJNA467780	SRR7609843	PRJNA502415	SRR8361103	ocean
78	PRJNA468317	SRR7962339	PRJNA467759	SRR7608833	ocean
63	PRJNA468318	SRR7962244	PRJNA467746	SRR7601694	ocean
43	PRJNA468302	SRR7815156	PRJNA468212	SRR7600353	ocean
66	PRJNA467781	SRR7609844	PRJNA467749	SRR7607748	ocean
54	PRJNA468319	SRR7962337	PRJNA468214	SRR7601174	ocean
41	PRJNA467782	SRR7609846	PRJNA467737	SRR7599849	ocean
28	PRJNA468320	SRR7962297	PRJNA467729	SRR7592826	ocean
32	PRJNA468321	SRR7962267	PRJNA468210	SRR7594064	ocean
81	PRJNA468145	SRR7610454	PRJNA467762	SRR7609163	ocean
70	PRJNA468322	SRR7962239	PRJNA467752	SRR7608010	ocean
67	PRJNA468323	SRR7962329	PRJNA467750	SRR7607757	ocean
33	PRJNA467783	SRR7610453	PRJNA502417	SRR8361102	ocean
27	PRJNA468331	SRR7962479	PRJNA468209	SRR7593830	ocean
34	PRJNA502465	SRR8297868	PRJNA467732	SRR7594085	ocean
4	PRJNA468146	SRR7610452	PRJNA467723	SRR7592236	ocean
57	PRJNA468147	SRR7610935	PRJNA502423	SRR8361526	ocean
1	PRJNA502466	SRR8361608	PRJNA467720	SRR7592212	ocean
47	PRJNA468148	SRR7610853	PRJNA467740	SRR7600454	ocean
9	PRJNA502467	SRR8297869	PRJNA502408	SRR8360547	ocean
77	PRJNA468324	SRR7962474	PRJNA467758	SRR7608832	ocean
55	PRJNA467784	SRR7610867	PRJNA502422	SRR8361371	ocean
10	PRJNA468325	SRR7962473	PRJNA502409	SRR8360543	ocean
11	PRJNA468326	SRR7962475	PRJNA467725	SRR7592321	ocean
58	PRJNA502468	SRR8297878	PRJNA502424	SRR8361527	ocean
52	PRJNA468327	SRR7962478	PRJNA467742	SRR7600455	ocean
51	PRJNA468149	SRR7611057	PRJNA502420	SRR8361350	ocean
50	PRJNA468328	SRR7962477	PRJNA502419	SRR8361349	ocean
90	PRJNA467785	SRR7611056	PRJNA467768	SRR7609452	ocean
80	PRJNA467786	SRR7611058	PRJNA467761	SRR7609166	ocean
89	PRJNA468150	SRR7611500	PRJNA467766	SRR7609363	ocean
35	PRJNA467787	SRR7612580	PRJNA502441	SRR8361101	ocean
71	PRJNA468329	SRR7962476	PRJNA467753	SRR7608017	ocean
31	PRJNA468151	SRR7611499	PRJNA467731	SRR7593934	ocean
84	PRJNA502451	SRR8393198	PRJNA467764	SRR7609361	ocean
61	PRJNA467788	SRR7615219	PRJNA502426	SRR8361516	ocean
36_r	PRJNA468330	SRR7962481	PRJNA467770	SRR7609462	ocean
82	PRJNA502452	SRR8361531	PRJNA467763	SRR7609344	ocean
sample_106	PRJNA603240	SRR10968230	PRJNA603240	SRR10968263	deadwood
sample_069	PRJNA603240	SRR10968231	PRJNA603240	SRR10968264	deadwood
sample_055	PRJNA603240	SRR10968232	PRJNA603240	SRR10968265	deadwood
sample_049	PRJNA603240	SRR10968233	PRJNA603240	SRR10968266	deadwood
sample_031	PRJNA603240	SRR10968234	PRJNA603240	SRR10968267	deadwood
sample_116	PRJNA603240	SRR10968236	PRJNA603240	SRR10968225	deadwood
sample_110	PRJNA603240	SRR10968237	PRJNA603240	SRR10968226	deadwood
sample_044	PRJNA603240	SRR10968238	PRJNA603240	SRR10968227	deadwood
sample_007	PRJNA603240	SRR10968239	PRJNA603240	SRR10968228	deadwood
sample_006	PRJNA603240	SRR10968240	PRJNA603240	SRR10968229	deadwood
Tag1363-1	PRJNA202380	SRR1138694	PRJNA202380	SRR1267595	sheep_rumen
Tag1111-1	PRJNA202380	SRR1138697	PRJNA202380	SRR1222429	sheep_rumen
Tag1111-2	PRJNA202380	SRR1138702	PRJNA202380	SRR1222431	sheep_rumen
Tag1234-1	PRJNA202380	SRR1206249	PRJNA202380	SRR1206671	sheep_rumen
Tag1494-1	PRJNA202380	SRR873450	PRJNA202380	SRR873595	sheep_rumen
Tag1283-1	PRJNA202380	SRR873451	PRJNA202380	SRR873596	sheep_rumen
Tag1435-1	PRJNA202380	SRR873452	PRJNA202380	SRR873597	sheep_rumen
Tag1494-2	PRJNA202380	SRR873453	PRJNA202380	SRR873598	sheep_rumen
Tag1265-1	PRJNA202380	SRR873454	PRJNA202380	SRR873599	sheep_rumen
Tag1435-2	PRJNA202380	SRR873455	PRJNA202380	SRR873600	sheep_rumen
Tag1283-2	PRJNA202380	SRR873456	PRJNA202380	SRR873601	sheep_rumen
Tag1265-2	PRJNA202380	SRR873457	PRJNA202380	SRR873602	sheep_rumen
Tag1363-2	PRJNA202380	SRR873458	PRJNA202380	SRR873603	sheep_rumen
Tag1174-1	PRJNA202380	SRR873459	PRJNA202380	SRR873604	sheep_rumen
Tag1234-2	PRJNA202380	SRR873460	PRJNA202380	SRR873605	sheep_rumen
Tag1586-1	PRJNA202380	SRR873461	PRJNA202380	SRR873606	sheep_rumen
Tag1586-2	PRJNA202380	SRR873462	PRJNA202380	SRR873607	sheep_rumen
Tag1333-1	PRJNA202380	SRR873463	PRJNA202380	SRR873608	sheep_rumen
Tag1174-2	PRJNA202380	SRR873464	PRJNA202380	SRR873609	sheep_rumen
Tag1333-2	PRJNA202380	SRR873465	PRJNA202380	SRR873610	sheep_rumen
Ahn.Mel47	PRJNA541981	SRR9118109	PRJNA541981	SRR9033724	human_skin
Ahn.Mel44	PRJNA541981	SRR9118110	PRJNA541981	SRR9033723	human_skin
Ahn.Mel46	PRJNA541981	SRR9118111	PRJNA541981	SRR9033725	human_skin
Ahn.Mel42	PRJNA541981	SRR9118112	PRJNA541981	SRR9033716	human_skin
Ahn.Mel43	PRJNA541981	SRR9118113	PRJNA541981	SRR9033715	human_skin
Ahn.Mel37	PRJNA541981	SRR9118114	PRJNA541981	SRR9033753	human_skin
Ahn.Mel38	PRJNA541981	SRR9118115	PRJNA541981	SRR9033754	human_skin
Ahn.Mel34	PRJNA541981	SRR9118116	PRJNA541981	SRR9033749	human_skin
Ahn.Mel35	PRJNA541981	SRR9118117	PRJNA541981	SRR9033750	human_skin
Ahn.Mel28	PRJNA541981	SRR9118118	PRJNA541981	SRR9033748	human_skin
Ahn.Mel32	PRJNA541981	SRR9118119	PRJNA541981	SRR9033752	human_skin
Ahn.Mel19	PRJNA541981	SRR9118120	PRJNA541981	SRR9033727	human_skin
Ahn.Mel26	PRJNA541981	SRR9118121	PRJNA541981	SRR9033720	human_skin
Ahn.Mel10	PRJNA541981	SRR9118122	PRJNA541981	SRR9033737	human_skin
Ahn.Mel13	PRJNA541981	SRR9118123	PRJNA541981	SRR9033742	human_skin
Ahn.Mel01	PRJNA541981	SRR9118124	PRJNA541981	SRR9033738	human_skin
Ahn.Mel04	PRJNA541981	SRR9118125	PRJNA541981	SRR9033719	human_skin
UAB088_W2D1	PRJNA797778	SRR17858151	PRJNA797778	SRR17635672	human_vagina
UAB082_W10D2	PRJNA797778	SRR17858152	PRJNA797778	SRR17635674	human_vagina
UAB082_W5D7	PRJNA797778	SRR17858153	PRJNA797778	SRR17635676	human_vagina
UAB082_W3D7	PRJNA797778	SRR17858154	PRJNA797778	SRR17635677	human_vagina
UAB082_W2D5	PRJNA797778	SRR17858155	PRJNA797778	SRR17635678	human_vagina
UAB079_W10D1	PRJNA797778	SRR17858156	PRJNA797778	SRR17635679	human_vagina
UAB079_W7D6	PRJNA797778	SRR17858157	PRJNA797778	SRR17635680	human_vagina
UAB079_W6D7	PRJNA797778	SRR17858158	PRJNA797778	SRR17635681	human_vagina
UAB079_W3D7	PRJNA797778	SRR17858159	PRJNA797778	SRR17635682	human_vagina
UAB079_W2D2	PRJNA797778	SRR17858160	PRJNA797778	SRR17635683	human_vagina
UAB006_W2D2	PRJNA797778	SRR17858161	PRJNA797778	SRR17635801	human_vagina
UAB077_W9D7	PRJNA797778	SRR17858162	PRJNA797778	SRR17635685	human_vagina
UAB077_W8D2	PRJNA797778	SRR17858163	PRJNA797778	SRR17635686	human_vagina
UAB077_W5D7	PRJNA797778	SRR17858164	PRJNA797778	SRR17635687	human_vagina
UAB077_W3D1	PRJNA797778	SRR17858165	PRJNA797778	SRR17635688	human_vagina
UAB077_W1D7	PRJNA797778	SRR17858166	PRJNA797778	SRR17635689	human_vagina
UAB071_W10D2	PRJNA797778	SRR17858167	PRJNA797778	SRR17635690	human_vagina
UAB071_W7D7	PRJNA797778	SRR17858168	PRJNA797778	SRR17635691	human_vagina
UAB071_W5D7	PRJNA797778	SRR17858169	PRJNA797778	SRR17635692	human_vagina
UAB071_W3D7	PRJNA797778	SRR17858170	PRJNA797778	SRR17635693	human_vagina
UAB071_W1D7	PRJNA797778	SRR17858171	PRJNA797778	SRR17635694	human_vagina
UAB002_W5D7	PRJNA797778	SRR17858172	PRJNA797778	SRR17635804	human_vagina
AYAC02_W9D3	PRJNA797778	SRR17858173	PRJNA797778	SRR17635818	human_vagina
UAB060_W10D2	PRJNA797778	SRR17858174	PRJNA797778	SRR17635696	human_vagina
UAB060_W7D7	PRJNA797778	SRR17858175	PRJNA797778	SRR17635697	human_vagina
UAB060_W5D7	PRJNA797778	SRR17858176	PRJNA797778	SRR17635698	human_vagina
UAB060_W3D7	PRJNA797778	SRR17858177	PRJNA797778	SRR17635763	human_vagina
UAB060_W1D6	PRJNA797778	SRR17858178	PRJNA797778	SRR17635764	human_vagina
UAB052_W10D2	PRJNA797778	SRR17858179	PRJNA797778	SRR17635765	human_vagina
UAB052_W8D3	PRJNA797778	SRR17858180	PRJNA797778	SRR17635766	human_vagina
UAB052_W5D7	PRJNA797778	SRR17858181	PRJNA797778	SRR17635767	human_vagina
UAB052_W4D2	PRJNA797778	SRR17858182	PRJNA797778	SRR17635768	human_vagina
UAB002_W1D4	PRJNA797778	SRR17858183	PRJNA797778	SRR17635806	human_vagina
UAB052_W1D5	PRJNA797778	SRR17858184	PRJNA797778	SRR17635769	human_vagina
UAB048_W9D7	PRJNA797778	SRR17858185	PRJNA797778	SRR17635771	human_vagina
UAB048_W7D7	PRJNA797778	SRR17858186	PRJNA797778	SRR17635772	human_vagina
UAB048_W5D2	PRJNA797778	SRR17858187	PRJNA797778	SRR17635773	human_vagina
UAB048_W3D7	PRJNA797778	SRR17858188	PRJNA797778	SRR17635774	human_vagina
UAB048_W1D7	PRJNA797778	SRR17858189	PRJNA797778	SRR17635775	human_vagina
